technology_4,timestep_2,parameter_1,value_1,parameter_2,value_2,comment
chpBiomassCcs,2020,costExpConv,1215.72,costOprConv,27.96,
chpBiomassCcs,2025,costExpConv,1158.616,costOprConv,26.648,
chpBiomassCcs,2030,costExpConv,1101.52,costOprConv,25.336,
chpBiomassCcs,2035,costExpConv,1057.312,costOprConv,24.32,
chpBiomassCcs,2040,costExpConv,1013.104,costOprConv,23.304,
chpBiomassCcs,2045,costExpConv,974.416,costOprConv,22.408,
chpBiomassCcs,2050,costExpConv,935.736,costOprConv,21.52,
pBiomassCcs,2020,costExpConv,1151.88,costOprConv,25.344,
pBiomassCcs,2025,costExpConv,1096.928,costOprConv,24.136,
pBiomassCcs,2030,costExpConv,1041.968,costOprConv,22.92,
pBiomassCcs,2035,costExpConv,993.608,costOprConv,21.856,
pBiomassCcs,2040,costExpConv,945.248,costOprConv,20.792,
pBiomassCcs,2045,costExpConv,901.28,costOprConv,19.832,
pBiomassCcs,2050,costExpConv,857.32,costOprConv,18.864,
xElectrolysis,2020,costExpConv,231.145,costOprConv,9.11,
xElectrolysis,2025,costExpConv,168.72,costOprConv,6.75,
xElectrolysis,2030,costExpConv,128.225,costOprConv,5.06,
xElectrolysis,2035,costExpConv,114.73,costOprConv,4.725,
xElectrolysis,2040,costExpConv,104.605,costOprConv,4.05,
xElectrolysis,2045,costExpConv,94.485,costOprConv,3.71,
xElectrolysis,2050,costExpConv,87.735,costOprConv,3.375,
xFuelCell,2020,costExpConv,594.205,costOprConv,0,
xFuelCell,2025,costExpConv,527.69,costOprConv,0,
xFuelCell,2030,costExpConv,461.175,costOprConv,0,
xFuelCell,2035,costExpConv,437.895,costOprConv,0,
xFuelCell,2040,costExpConv,414.615,costOprConv,0,
xFuelCell,2045,costExpConv,400.2,costOprConv,0,
xFuelCell,2050,costExpConv,385.79,costOprConv,0,
pHydrogen,2020,costExpConv,187.415,costOprConv,4.685,
pHydrogen,2025,costExpConv,183.205,costOprConv,4.58,
pHydrogen,2030,costExpConv,178.995,costOprConv,4.475,
pHydrogen,2035,costExpConv,174.78,costOprConv,4.37,
pHydrogen,2040,costExpConv,170.57,costOprConv,4.265,
pHydrogen,2045,costExpConv,166.36,costOprConv,4.16,
pHydrogen,2050,costExpConv,162.145,costOprConv,4.055,
xDac,2020,costExpConv,10000,costOprConv,495,
xDac,2025,costExpConv,10000,costOprConv,495,
xDac,2030,costExpConv,8571.428571,costOprConv,424.2857143,
xDac,2035,costExpConv,7857.142857,costOprConv,388.9285714,
xDac,2040,costExpConv,7142.857143,costOprConv,353.5714286,
xDac,2045,costExpConv,6428.571429,costOprConv,318.2142857,
xDac,2050,costExpConv,5714.285714,costOprConv,282.8571429,
