carrier_1,timestep_2,parameter,value
hardcoal,2015,trdBuyPrc,7.2
hardcoal,2020,trdBuyPrc,7.2
hardcoal,2025,trdBuyPrc,7.2
hardcoal,2030,trdBuyPrc,7.2
hardcoal,2035,trdBuyPrc,7.2
hardcoal,2040,trdBuyPrc,7.2
hardcoal,2045,trdBuyPrc,7.2
hardcoal,2050,trdBuyPrc,7.2
lignite,2015,trdBuyPrc,2.59
lignite,2020,trdBuyPrc,2.65
lignite,2025,trdBuyPrc,2.61
lignite,2030,trdBuyPrc,2.59
lignite,2035,trdBuyPrc,2.45
lignite,2040,trdBuyPrc,2.32
lignite,2045,trdBuyPrc,2.18
lignite,2050,trdBuyPrc,2.05
gasNatural,2015,trdBuyPrc,10.12
gasNatural,2020,trdBuyPrc,10.12
gasNatural,2025,trdBuyPrc,10.12
gasNatural,2030,trdBuyPrc,10.12
gasNatural,2035,trdBuyPrc,10.12
gasNatural,2040,trdBuyPrc,10.12
gasNatural,2045,trdBuyPrc,10.12
gasNatural,2050,trdBuyPrc,10.12
nuclear,,trdBuyPrc,2.94
oil,2015,trdBuyPrc,44.67
oil,2020,trdBuyPrc,44.67
oil,2025,trdBuyPrc,44.67
oil,2030,trdBuyPrc,44.67
oil,2035,trdBuyPrc,44.67
oil,2040,trdBuyPrc,44.67
oil,2045,trdBuyPrc,44.67
oil,2050,trdBuyPrc,44.67
biomass,,trdBuyPrc,0.2
