region_1,region_2,carrier_1,timestep_2,parameter,value
mexico,bajaCalifornia,biomass,all,useUp,2982.77
mexico,bajaCaliforniaSur,biomass,all,useUp,20216.56
mexico,central,biomass,all,useUp,100751.38
mexico,noreste,biomass,all,useUp,19664.19
mexico,noroeste,biomass,all,useUp,6628.38
mexico,norte,biomass,all,useUp,20106.09
mexico,occidental,biomass,all,useUp,27839.2
mexico,oriental,biomass,all,useUp,15190.04
mexico,peninsular,biomass,all,useUp,6462.67
usa,alabama,biomass,all,useUp,40941.43
usa,arkansas,biomass,all,useUp,64661
usa,arizona,biomass,all,useUp,7601.49
usa,california,biomass,all,useUp,64557.49
usa,colorado,biomass,all,useUp,15241.33
usa,connecticut,biomass,all,useUp,3069.45
usa,delaware,biomass,all,useUp,2922.25
usa,florida,biomass,all,useUp,46320.13
usa,georgia,biomass,all,useUp,59057.72
usa,iowa,biomass,all,useUp,120877.19
usa,idaho,biomass,all,useUp,23036.27
usa,illinois,biomass,all,useUp,103679.91
usa,indiana,biomass,all,useUp,59781.83
usa,kansas,biomass,all,useUp,51872.61
usa,kentucky,biomass,all,useUp,30338.39
usa,louisiana,biomass,all,useUp,57036.87
usa,massachusetts,biomass,all,useUp,5970.18
usa,maryland,biomass,all,useUp,12160.96
usa,maine,biomass,all,useUp,9188.12
usa,michigan,biomass,all,useUp,43644.75
usa,minnesota,biomass,all,useUp,103292.25
usa,missouri,biomass,all,useUp,41824.11
usa,mississippi,biomass,all,useUp,45581.24
usa,montana,biomass,all,useUp,18105.38
usa,northCarolina,biomass,all,useUp,56721.79
usa,northDakota,biomass,all,useUp,60984.86
usa,nebraska,biomass,all,useUp,73417.8
usa,newHampshire,biomass,all,useUp,3760
usa,newJersey,biomass,all,useUp,8708.96
usa,newMexico,biomass,all,useUp,2348.16
usa,nevada,biomass,all,useUp,2368.66
usa,newYork,biomass,all,useUp,24700.04
usa,ohio,biomass,all,useUp,55968.79
usa,oklahoma,biomass,all,useUp,16699.12
usa,oregon,biomass,all,useUp,45870.62
usa,pennsylvania,biomass,all,useUp,103679.91
usa,rhodeIsland,biomass,all,useUp,886.37
usa,southCarolina,biomass,all,useUp,32566.65
usa,southDakota,biomass,all,useUp,42908.26
usa,tennessee,biomass,all,useUp,29064.26
usa,texas,biomass,all,useUp,74476.36
usa,utah,biomass,all,useUp,3230.09
usa,virginia,biomass,all,useUp,38234.04
usa,vermont,biomass,all,useUp,1947.22
usa,washington,biomass,all,useUp,46617.55
usa,wisconsin,biomass,all,useUp,41763.46
usa,westVirginia,biomass,all,useUp,12606.74
usa,wyoming,biomass,all,useUp,0
usa,alaska,biomass,all,useUp,1771.91
canada,canada_,biomass,all,useUp,198931.71
